File,loc,cyclomatic_Complexity,number_of_Changes,number_of_past_faults,number_of_developers,change_burst,change_entropy,structural_scattering,semantic_scattering,is_buggy
Cluster.java,62,11,6,0,1,2,0.3,113.06666666666668,379.7396774211341,1
ClusterSpec.java,209,51,8,0,1,2,0.4,113.06666666666668,379.7396774211341,1
ComputeServiceBuilder.java,20,1,4,0,1,1,0.2,113.06666666666668,379.7396774211341,1
RunUrlBuilder.java,18,2,3,0,1,1,0.15,113.06666666666668,379.7396774211341,1
Service.java,14,1,7,0,1,1,0.35,113.06666666666668,379.7396774211341,1
ServiceSpec.java,,,4,0,1,1,0.2,113.06666666666668,379.7396774211341,1
TagBuilder.java,,,2,0,1,1,0.1,113.06666666666668,379.7396774211341,1
HadoopCluster.java,21,2,2,0,1,2,0.1,113.06666666666668,379.7396774211341,1
HadoopProxy.java,50,6,4,0,1,2,0.2,113.06666666666668,379.7396774211341,1
HadoopService.java,167,15,9,0,1,1,0.45,113.06666666666668,379.7396774211341,1
HadoopServiceTest.java,112,11,8,0,1,1,0.4,113.06666666666668,379.7396774211341,1
ZooKeeperCluster.java,13,2,1,0,1,1,0.05,113.06666666666668,379.7396774211341,1
ZooKeeperService.java,127,12,6,0,1,1,0.3,113.06666666666668,379.7396774211341,1
ZooKeeperServiceTest.java,84,6,7,0,1,1,0.35,113.06666666666668,379.7396774211341,1
RunUrlBuilderTest.java,51,8,2,0,1,2,0.1,113.06666666666668,379.7396774211341,0
