File,loc,cyclomatic_Complexity,number_of_Changes,number_of_past_faults,number_of_developers,change_burst,change_entropy,structural_scattering,semantic_scattering,is_buggy
HadoopService.java,274,28,11,0,1,1,0.5,133.125,394.22540082327083,1
DestroyClusterCommandTest.java,76,4,2,0,1,1,0.09090909090909091,133.125,394.22540082327083,1
LaunchClusterCommandTest.java,87,4,3,0,1,1,0.13636363636363635,133.125,394.22540082327083,1
ClusterSpec.java,331,81,9,1,1,1,0.4090909090909091,133.125,394.22540082327083,1
HadoopProxy.java,65,8,4,0,1,1,0.18181818181818182,133.125,394.22540082327083,1
CassandraServiceTest.java,101,14,5,1,1,1,0.22727272727272727,133.125,394.22540082327083,1
HadoopServiceTest.java,118,12,4,1,1,1,0.18181818181818182,133.125,394.22540082327083,1
ZooKeeperServiceTest.java,88,7,5,1,1,1,0.22727272727272727,133.125,394.22540082327083,1
ClusterSpecCommand.java,67,9,1,0,1,1,0.045454545454545456,133.125,394.22540082327083,1
RunUrlBuilder.java,18,2,2,0,1,2,0.09090909090909091,133.125,394.22540082327083,1
